Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
04/04/2016,114.07,114.550003,111.610001,112.550003,112.550003,48487900,2016,4,4
05/04/2016,112.110001,113.32,111.900002,112.220001,112.220001,22962400,2016,4,5
06/04/2016,112.470001,113.809998,112.419998,113.709999,113.709999,20522400,2016,4,6
07/04/2016,113.790001,114.889999,113.07,113.639999,113.639999,20714500,2016,4,7
08/04/2016,114.25,114.330002,109.900002,110.629997,110.629997,48497800,2016,4,8
11/04/2016,110.699997,110.910004,108.769997,108.989998,108.989998,39762300,2016,4,11
12/04/2016,109.339996,111.160004,108.989998,110.610001,110.610001,26175900,2016,4,12
13/04/2016,112.230003,112.650002,106.519997,110.510002,110.510002,88227400,2016,4,13
14/04/2016,110.620003,112.040001,110.260002,110.839996,110.839996,28430900,2016,4,14
15/04/2016,110.790001,110.970001,109.199997,109.639999,109.639999,20922800,2016,4,15
18/04/2016,109.739998,110.809998,109.199997,110.449997,110.449997,21092700,2016,4,18
19/04/2016,111.099998,112.449997,109.160004,112.290001,112.290001,30210500,2016,4,19
20/04/2016,112.43,113.269997,111.559998,112.419998,112.419998,21027900,2016,4,20
21/04/2016,112.550003,114.040001,112.309998,113.440002,113.440002,20875200,2016,4,21
22/04/2016,111.209999,111.75,109.010002,110.559998,110.559998,38458200,2016,4,22
25/04/2016,109.870003,110.669998,109.07,110.099998,110.099998,21017900,2016,4,25
26/04/2016,110.489998,110.5,108.150002,108.760002,108.760002,22521500,2016,4,26
27/04/2016,107.940002,108.940002,106.309998,108.889999,108.889999,52213100,2016,4,27
28/04/2016,119.580002,120.790001,116.230003,116.730003,116.730003,87110100,2016,4,28
29/04/2016,116.82,117.839996,115.839996,117.580002,117.580002,37140600,2016,4,29
02/05/2016,117.830002,118.730003,116.57,118.57,118.57,28095200,2016,5,2
03/05/2016,117.519997,118.160004,117.019997,117.43,117.43,24117500,2016,5,3
04/05/2016,116.610001,118.300003,116.57,118.059998,118.059998,23380200,2016,5,4
05/05/2016,118.040001,118.980003,117.25,117.809998,117.809998,22056700,2016,5,5
06/05/2016,117.160004,119.639999,117.110001,119.489998,119.489998,26395600,2016,5,6
09/05/2016,119.540001,120.279999,118.900002,119.239998,119.239998,21138100,2016,5,9
